unit,age,sex,lmp_type,geotime,date,value
RT,TOTAL,T,TOT2_7,IE,2014-01-01,24
RT,TOTAL,T,TOT2_7,IE,2015-01-01,28
RT,TOTAL,T,TOT2_7,IE,2016-01-01,27
RT,TOTAL,T,TOT2_7,IT,2005-01-01,35
RT,TOTAL,T,TOT2_7,IT,2006-01-01,34
RT,TOTAL,T,TOT2_7,IT,2007-01-01,31
RT,TOTAL,T,TOT2_7,IT,2008-01-01,26
RT,TOTAL,T,TOT2_7,IT,2009-01-01,30
RT,TOTAL,T,TOT2_7,IT,2010-01-01,24
RT,TOTAL,T,TOT2_7,IT,2011-01-01,23
RT,TOTAL,T,TOT2_7,IT,2012-01-01,19
RT,TOTAL,T,TOT2_7,IT,2013-01-01,16
RT,TOTAL,T,TOT2_7,IT,2014-01-01,15
RT,TOTAL,T,TOT2_7,IT,2015-01-01,
RT,TOTAL,T,TOT2_7,IT,2016-01-01,
RT,TOTAL,T,TOT2_7,LT,2005-01-01,7
RT,TOTAL,T,TOT2_7,LT,2006-01-01,12
RT,TOTAL,T,TOT2_7,LT,2007-01-01,14
RT,TOTAL,T,TOT2_7,LT,2008-01-01,8
RT,TOTAL,T,TOT2_7,LT,2009-01-01,5
RT,TOTAL,T,TOT2_7,LT,2010-01-01,5
RT,TOTAL,T,TOT2_7,LT,2011-01-01,6
RT,TOTAL,T,TOT2_7,LT,2012-01-01,8
RT,TOTAL,T,TOT2_7,LT,2013-01-01,8
RT,TOTAL,T,TOT2_7,LT,2014-01-01,11
RT,TOTAL,T,TOT2_7,LT,2015-01-01,13
RT,TOTAL,T,TOT2_7,LT,2016-01-01,12
RT,TOTAL,T,TOT2_7,LU,2005-01-01,87
RT,TOTAL,T,TOT2_7,LU,2006-01-01,79
RT,TOTAL,T,TOT2_7,LU,2007-01-01,120
RT,TOTAL,T,TOT2_7,LU,2008-01-01,89
RT,TOTAL,T,TOT2_7,LU,2009-01-01,49
RT,TOTAL,T,TOT2_7,LU,2010-01-01,64
RT,TOTAL,T,TOT2_7,LU,2011-01-01,55
RT,TOTAL,T,TOT2_7,LU,2012-01-01,55
RT,TOTAL,T,TOT2_7,LU,2013-01-01,55
RT,TOTAL,T,TOT2_7,LU,2014-01-01,61
RT,TOTAL,T,TOT2_7,LU,2015-01-01,40
RT,TOTAL,T,TOT2_7,LU,2016-01-01,51
RT,TOTAL,T,TOT2_7,LV,2005-01-01,3
RT,TOTAL,T,TOT2_7,LV,2006-01-01,3
RT,TOTAL,T,TOT2_7,LV,2007-01-01,3
RT,TOTAL,T,TOT2_7,LV,2008-01-01,2
RT,TOTAL,T,TOT2_7,LV,2009-01-01,3
RT,TOTAL,T,TOT2_7,LV,2010-01-01,9
RT,TOTAL,T,TOT2_7,LV,2011-01-01,9
RT,TOTAL,T,TOT2_7,LV,2012-01-01,5
RT,TOTAL,T,TOT2_7,LV,2013-01-01,6
RT,TOTAL,T,TOT2_7,LV,2014-01-01,6
RT,TOTAL,T,TOT2_7,LV,2015-01-01,4
RT,TOTAL,T,TOT2_7,LV,2016-01-01,5
RT,TOTAL,T,TOT2_7,MT,2005-01-01,
RT,TOTAL,T,TOT2_7,MT,2006-01-01,3
RT,TOTAL,T,TOT2_7,MT,2007-01-01,3
RT,TOTAL,T,TOT2_7,MT,2008-01-01,2
RT,TOTAL,T,TOT2_7,MT,2009-01-01,3
RT,TOTAL,T,TOT2_7,MT,2010-01-01,7
RT,TOTAL,T,TOT2_7,MT,2011-01-01,20
RT,TOTAL,T,TOT2_7,MT,2012-01-01,11
RT,TOTAL,T,TOT2_7,MT,2013-01-01,5
RT,TOTAL,T,TOT2_7,MT,2014-01-01,16
RT,TOTAL,T,TOT2_7,MT,2015-01-01,11
RT,TOTAL,T,TOT2_7,MT,2016-01-01,8
RT,TOTAL,T,TOT2_7,NL,2005-01-01,38
RT,TOTAL,T,TOT2_7,NL,2006-01-01,39
RT,TOTAL,T,TOT2_7,NL,2007-01-01,40
RT,TOTAL,T,TOT2_7,NL,2008-01-01,48
RT,TOTAL,T,TOT2_7,NL,2009-01-01,53
RT,TOTAL,T,TOT2_7,NL,2010-01-01,45
RT,TOTAL,T,TOT2_7,NL,2011-01-01,40
RT,TOTAL,T,TOT2_7,NL,2012-01-01,35
RT,TOTAL,T,TOT2_7,NL,2013-01-01,28
